id_gares;nom_gares;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto
123;Cambronne;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;648847.9144;6861054.9766;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0
201;Concorde;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;650269.0473;6863190.0048;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51
279;Faidherbe Chaligny;METRO 8;8;METRO;0;0;0;0;0;RATP;1;0;654803.4286;6861302.4488;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51
693;Porte de Montreuil;METRO 9;9;METRO;0;0;0;0;0;RATP;1;0;656846.5807;6861686.6193;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a
704;Porte d'Ivry;METRO 7;7;METRO;0;0;0;0;0;RATP;1;0;653691.6801;6858106.3134;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a
717;Quai de la Gare;METRO 6;6;METRO;0;0;0;0;0;RATP;1;0;653965.0897;6859848.7241;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0
684;Porte de Bagnolet;METRO 3;3;METRO;0;0;0;0;0;RATP;1;0;656572.0977;6862892.6803;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a
850;Ternes;METRO 2;2;METRO;0;0;0;0;0;RATP;1;0;648536.2023;6864445.5141;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/936e2e595d6b2f9c3555b888f90817a1
718;Quai de la Rapée;METRO 5;5;METRO;0;0;0;0;0;RATP;1;0;653465.9193;6860902.359;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273
1117;Porte de Vincennes;TRAM 3a;3A;TRAMWAY;0;0;0;TRAM 3A;0;RATP;1;0;656668.9572;6860929.0625;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614
1075;Mairie de Villeneuve-la-Garenne;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;1;0;651232.1543;6870831.2068;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4
1094;Séverine;TRAM 3b;3B;TRAMWAY;0;0;0;0;0;RATP;1;0;656644.0673;6863216.9519;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987
1146;Bretagne;TRAM 7;7;TRAMWAY;0;0;0;0;0;RATP;1;0;653552.7706;6852195.7766;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0
